stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	preferredName_A_Disease	preferredName_B_Disease	disease
9606.ENSP00000011653	9606.ENSP00000264010	CD4	CTCF	9606	Low (score <0.5)	AML	NA	AML::NA
9606.ENSP00000011653	9606.ENSP00000264010	CD4	CTCF	9606	Low (score <0.5)	AML	NA	AML::NA
9606.ENSP00000011653	9606.ENSP00000339992	CD4	MYB	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000339992	CD4	MYB	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000361423	CD4	ABL1	9606	Low (score <0.5)	AML	T-ALL;ALL	AML::T-ALL;ALL
9606.ENSP00000011653	9606.ENSP00000361423	CD4	ABL1	9606	Low (score <0.5)	AML	T-ALL;ALL	AML::T-ALL;ALL
9606.ENSP00000011653	9606.ENSP00000320147	CD4	EZH2	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000320147	CD4	EZH2	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000257818	CD4	LMO2	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000257818	CD4	LMO2	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000265165	CD4	LEF1	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000265165	CD4	LEF1	9606	Low (score <0.5)	AML	T-ALL	AML::T-ALL
9606.ENSP00000011653	9606.ENSP00000428056	CD4	PIK3R1	9606	Low (score <0.5)	AML	AML;AML	AML::AML;AML
9606.ENSP00000011653	9606.ENSP00000428056	CD4	PIK3R1	9606	Low (score <0.5)	AML	AML;AML	AML::AML;AML
9606.ENSP00000011653	9606.ENSP00000263253	CD4	EP300	9606	Low (score <0.5)	AML	B-ALL;-ALL;ALL	AML::B-ALL;-ALL;ALL
9606.ENSP00000011653	9606.ENSP00000263253	CD4	EP300	9606	Low (score <0.5)	AML	B-ALL;-ALL;ALL	AML::B-ALL;-ALL;ALL
9606.ENSP00000011653	9606.ENSP00000278616	CD4	ATM	9606	Low (score <0.5)	AML	MLL;AML	AML::MLL;AML
9606.ENSP00000011653	9606.ENSP00000278616	CD4	ATM	9606	Low (score <0.5)	AML	MLL;AML	AML::MLL;AML
9606.ENSP00000011653	9606.ENSP00000412869	CD4	IKZF2	9606	Low (score <0.5)	AML	ALL	AML::ALL
9606.ENSP00000011653	9606.ENSP00000412869	CD4	IKZF2	9606	Low (score <0.5)	AML	ALL	AML::ALL
